Reduced efficiency parameters,,,,,,,,,
2-gRNA,,,,,,,,,
gen,wt,dr,r1,r2,full_r1,part_r1,full_r2,part_r2,
6,175134,13876,188,7230,0,188,3179,4051,98214
7,161160,19689,275,10482,0,275,4695,5787,95803
8,147266,28292,360,14744,0,360,6902,7842,95331
9,125396,38213,430,19519,0,430,9233,10286,91779
10,100448,47592,489,23341,0,489,11711,11630,85935
11,74515,55207,464,25738,0,464,13634,12104,77962
12,51058,58548,370,26406,0,370,14560,11846,68191
13,32469,55945,250,24206,0,250,14240,9966,56435
14,19619,49327,194,20470,0,194,12762,7708,44805
15,11840,40727,148,16563,0,148,10974,5589,34639
16,7079,31784,130,12265,0,130,8474,3791,25629
17,4604,25328,104,9584,0,104,6925,2659,19810
18,3312,20587,52,7751,0,52,5817,1934,15851
19,2544,17202,49,6199,0,49,4670,1529,12997
20,2222,14992,38,5488,0,38,4188,1300,11370
21,1885,14223,31,5165,0,31,3989,1176,10652
22,1735,12372,64,4569,0,64,3531,1038,9370
23,1577,12793,22,4614,0,22,3528,1086,9503
24,1721,10780,37,4142,0,37,3202,940,8340
25,1766,12838,75,4751,0,75,3587,1164,9715
26,1755,11743,89,4253,0,89,3199,1054,8920
27,1804,12833,95,4798,0,95,3559,1239,9765
28,1928,11833,80,4475,0,80,3312,1163,9158
29,1625,13683,146,4834,0,146,3591,1243,10144
30,1489,11644,116,4351,0,116,3367,984,8800
31,1520,11048,172,3992,0,172,3036,956,8366
32,1749,12167,196,4480,0,196,3486,994,9296
33,1564,13672,176,4730,0,176,3543,1187,10071
34,1222,11947,184,3753,0,184,2648,1105,8553
35,1236,10626,161,3493,0,161,2540,953,7758
36,1032,10613,144,3377,0,144,2437,940,7583
37,782,9649,109,2996,0,109,2152,844,6768
38,982,6420,130,2428,0,130,1816,612,4980
39,1078,9444,156,3328,0,156,2485,843,7003
40,1065,9641,110,3306,0,110,2469,837,7061
41,1072,10190,98,3302,0,98,2472,830,7331
42,1128,9327,178,3131,0,178,2348,783,6882
43,994,10141,98,3237,0,98,2476,761,7235
44,1036,8495,125,2874,0,125,2238,636,6265
45,1123,9038,80,2969,0,80,2279,690,6605
46,998,10144,115,3299,0,115,2576,723,7278
47,920,9015,32,2865,0,32,2281,584,6416
48,915,7862,17,2686,0,17,2118,568,5740
49,1028,7751,1,2764,0,1,2107,657,5772
50,1115,8674,5,2764,0,5,2063,701,6279
51,1049,9145,2,2938,0,2,2196,742,6567
52,1114,8509,7,2900,0,7,2162,738,6265
53,1271,9134,15,3304,0,15,2467,837,6862
54,1187,10737,6,3498,0,6,2615,883,7714
55,1177,8582,6,3011,0,6,2248,763,6388
56,1217,8745,2,3192,0,2,2363,829,6578
57,1340,9834,4,3664,0,4,2738,926,7421
58,1375,9656,9,3900,0,9,3040,860,7470
59,1622,10941,21,4232,0,21,3332,900,8408
60,2010,11195,39,4504,0,39,3460,1044,8874
61,2192,13602,48,5498,0,48,4196,1302,10670
62,2296,13541,94,5657,0,94,4223,1434,10794
63,2551,14214,133,6090,0,133,4421,1669,11494
64,2763,14386,79,6314,0,79,4559,1755,11771
65,3037,15025,71,6369,0,71,4693,1676,12251
66,3124,17251,68,7147,0,68,5332,1815,13795
67,3026,16044,47,6911,0,47,5070,1841,13014
68,3021,16443,34,6514,0,34,4907,1607,13006
69,2706,17040,27,6385,0,27,4778,1607,13079
70,2443,15163,24,5794,0,24,4457,1337,11712
71,2385,15081,38,5866,0,38,4546,1320,11685
72,2414,13519,9,5422,0,9,4270,1152,10682
73,2406,15133,9,6102,0,9,4762,1340,11825
74,2253,13580,23,5418,0,23,4184,1234,10637
75,2035,14271,18,5500,0,18,3994,1506,10912
76,1911,12377,25,4849,0,25,3748,1101,9581
77,2095,11788,10,4933,0,10,3787,1146,9413
78,2257,14063,12,5330,0,12,4044,1286,10831
79,2232,13958,16,5426,0,16,4047,1379,10816
80,2087,13534,18,5269,0,18,4086,1183,10454
81,1827,13080,21,4996,0,21,3857,1139,9962
82,1717,11635,18,4162,0,18,3231,931,8766
83,1636,11613,14,4139,0,14,3203,936,8701
84,1457,11932,22,4277,0,22,3253,1024,8844
85,1269,10720,10,3621,0,10,2795,826,7810
86,951,9934,7,3472,0,7,2765,707,7182
87,813,7250,14,2681,0,14,2101,580,5379
88,957,6895,4,2586,0,4,1985,601,5221
89,1156,8441,0,2945,0,0,2282,663,6271
90,1107,9159,11,3185,0,11,2597,588,6731
91,1092,8857,12,2989,0,12,2393,596,6475
92,1061,9059,1,3061,0,1,2402,659,6591
93,1243,7980,5,2966,0,5,2265,701,6097
94,1268,9713,5,3566,0,5,2631,935,7276
95,1583,9004,11,3764,0,11,2908,856,7181
96,2165,11518,6,4911,0,6,3871,1040,9300
97,2230,13596,18,5484,0,18,4329,1155,10664
98,2093,13357,27,5079,0,27,3961,1118,10278
99,1985,13869,27,5373,0,27,4266,1107,10627
100,1816,12591,22,4815,0,22,3771,1044,9622
